entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-03-06 14:15:00,2023-03-06 14:30:00,SHORT,1010.8,1010.0,44999.99999999546,1
2023-03-07 14:00:00,2023-03-07 14:30:00,LONG,1034.1,1027.9,-654999.9999999818,2
2023-03-08 13:15:00,2023-03-08 14:30:00,LONG,1024.5,1038.0,1315000.0,5
2023-03-09 13:45:00,2023-03-09 14:30:00,LONG,1044.5,1050.7,585000.0000000045,3
2023-03-10 14:00:00,2023-03-10 14:30:00,SHORT,1036.8,1049.4,-1295000.0000000137,2
2023-03-15 10:30:00,2023-03-15 13:00:00,LONG,1059.6,1062.6,265000.0,4
2023-03-16 13:15:00,2023-03-16 14:30:00,SHORT,1052.9,1043.0,955000.0000000091,5
2023-03-22 11:15:00,2023-03-22 11:30:00,LONG,1038.2,1038.2,-35000.0,1
2023-03-28 11:15:00,2023-03-28 11:30:00,LONG,1057.3,1057.3,-35000.0,1
2023-03-29 13:30:00,2023-03-29 14:30:00,LONG,1052.5,1056.0,315000.0,4
2023-03-31 10:30:00,2023-03-31 11:30:00,LONG,1073.5,1074.5,65000.0,4
2023-04-06 14:15:00,2023-04-06 14:30:00,SHORT,1079.6,1073.0,624999.9999999909,1
2023-04-07 11:15:00,2023-04-07 11:30:00,SHORT,1069.6,1070.1,-85000.0,1
2023-04-10 13:45:00,2023-04-10 14:30:00,SHORT,1074.8,1072.8,165000.0,3
2023-04-11 13:45:00,2023-04-11 14:15:00,SHORT,1068.3,1077.5,-955000.0000000045,2
2023-04-12 14:15:00,2023-04-12 14:30:00,SHORT,1073.3,1075.0,-205000.00000000454,1
2023-04-14 10:45:00,2023-04-14 11:30:00,SHORT,1071.5,1070.8,35000.00000000454,3
2023-04-17 11:15:00,2023-04-17 11:30:00,LONG,1063.5,1063.4,-44999.999999990905,1
2023-04-19 13:15:00,2023-04-19 14:30:00,SHORT,1061.4,1055.0,605000.0000000091,5
2023-04-20 11:00:00,2023-04-20 11:30:00,SHORT,1052.5,1052.5,-35000.0,2
2023-04-21 10:45:00,2023-04-21 11:30:00,SHORT,1045.1,1046.0,-125000.0000000091,3
2023-04-24 11:00:00,2023-04-24 11:30:00,LONG,1045.8,1046.4,25000.000000013642,2
2023-04-26 11:15:00,2023-04-26 11:30:00,LONG,1031.5,1031.6,-25000.000000009095,1
2023-04-27 13:45:00,2023-04-27 14:30:00,LONG,1037.9,1035.0,-325000.0000000091,3
2023-04-28 13:45:00,2023-04-28 14:30:00,LONG,1041.5,1042.5,65000.0,3
2023-05-05 13:15:00,2023-05-05 14:30:00,LONG,1033.7,1033.5,-55000.00000000455,5
2023-05-09 13:30:00,2023-05-09 14:30:00,SHORT,1041.6,1042.2,-95000.00000001365,4
2023-05-11 14:15:00,2023-05-11 14:30:00,SHORT,1050.9,1051.6,-104999.99999998181,1
2023-05-15 14:15:00,2023-05-15 14:30:00,SHORT,1066.5,1066.8,-64999.99999999545,1
2023-05-22 13:45:00,2023-05-22 14:30:00,LONG,1063.9,1065.2,94999.99999999546,3
