entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2025-05-12 13:30:00,2025-05-12 14:30:00,LONG,1364.6,1374.0,905000.0000000091,4
2025-05-15 14:15:00,2025-05-15 14:30:00,LONG,1400.8,1400.7,-44999.999999990905,1
2025-05-16 10:45:00,2025-05-16 11:30:00,SHORT,1389.0,1389.5,-85000.0,3
2025-05-26 09:30:00,2025-05-26 11:00:00,SHORT,1381.9,1395.2,-1364999.9999999953,6
2025-05-26 14:15:00,2025-05-26 14:30:00,LONG,1416.7,1416.5,-55000.00000000455,1
2025-05-28 13:30:00,2025-05-28 14:30:00,LONG,1426.1,1421.2,-524999.9999999864,4
2025-05-30 14:00:00,2025-05-30 14:30:00,SHORT,1417.7,1419.5,-214999.99999999546,2
2025-06-02 13:45:00,2025-06-02 14:30:00,LONG,1414.3,1415.1,44999.99999999546,3
2025-06-04 13:45:00,2025-06-04 14:30:00,SHORT,1431.0,1430.0,65000.0,3
2025-06-05 13:15:00,2025-06-05 14:30:00,SHORT,1427.7,1427.0,35000.00000000454,5
2025-06-13 11:15:00,2025-06-13 13:00:00,SHORT,1391.4,1392.9,-185000.0,1
2025-06-19 13:30:00,2025-06-19 14:30:00,LONG,1431.9,1440.8,854999.9999999864,4
2025-06-20 14:00:00,2025-06-20 14:30:00,SHORT,1426.0,1424.2,144999.99999999546,2
2025-06-24 10:00:00,2025-06-24 13:00:00,LONG,1453.9,1458.8,454999.9999999864,6
2025-06-30 14:15:00,2025-06-30 14:30:00,SHORT,1463.9,1462.6,95000.00000001819,1
2025-07-01 11:00:00,2025-07-01 11:30:00,SHORT,1461.6,1461.2,4999.999999986358,2
2025-07-03 10:45:00,2025-07-03 13:00:00,LONG,1474.2,1478.9,435000.00000000454,3
2025-07-07 09:30:00,2025-07-07 13:00:00,LONG,1484.7,1484.8,-25000.000000009095,8
2025-07-08 13:15:00,2025-07-08 14:30:00,LONG,1498.5,1512.0,1315000.0,5
2025-07-11 10:45:00,2025-07-11 11:30:00,LONG,1584.5,1586.0,115000.0,3
